Duration [s],Average Interlayertemperature [°C],Average Lack of fusion volume below 580 °C [%],Average Hot spot volume above 880 °C [%],Relative Density [%],Laser Power [W],Scan Speed [mm/s],Hatch Distance [mm],Layer Thickness [Microm.],Laser Energy Density E [J/mm^3]
2810.97,86.03195393759313,4.686549583952442,8.2780944279346,97.3,300.0,1000.0,0.1,50.0,0.06
2740.65,84.46589153046098,48.67951478454683,0.32871077176820196,97.3,300.0,1500.0,0.1,50.0,0.04
2705.49,83.64693907875116,74.8565857355128,0.001080609260772658,94.5,300.0,2000.0,0.1,50.0,0.03
2810.97,88.28930906389257,0.0,50.56525884101031,99.8,400.0,1000.0,0.1,50.0,0.08
2740.65,86.01297176820218,1.3756484621099538,19.42510617384842,99.7,400.0,1500.0,0.1,50.0,0.05333333333333334
2705.49,84.82390787518602,10.044837793462111,4.143682667161973,99.0,400.0,2000.0,0.1,50.0,0.04
2810.97,90.54723625557183,0.0,97.32822971768213,99.7,500.0,1000.0,0.1,50.0,0.1
2740.65,87.56008172362586,0.0,60.83381924219903,99.9,500.0,1500.0,0.1,50.0,0.06666666666666667
2705.49,86.0006612184247,0.34205403714710353,25.244515156017886,99.8,500.0,2000.0,0.1,50.0,0.05
2740.65,84.46589153046098,28.736593387815805,2.942621684992563,99.2,300.0,1000.0,0.15,50.0,0.04
2693.76,83.36832838038586,67.6992596582468,0.10862281805349178,96.2,300.0,1500.0,0.15,50.0,0.02666666666666667
2670.32,82.80202080237713,78.21668580980669,0.0010650417310549768,85.4,300.0,2000.0,0.15,50.0,0.02
2740.65,86.01297176820218,0.5825833677563138,29.878226820207985,99.7,400.0,1000.0,0.15,50.0,0.05333333333333334
2693.76,84.419301634473,12.697284338781595,8.253190616641904,99.3,400.0,1500.0,0.15,50.0,0.035555555555555556
2670.32,83.59791233283815,42.24162117384848,1.075435510401188,97.0,400.0,2000.0,0.15,50.0,0.02666666666666667
2740.65,87.56008172362586,0.0,79.46135594353667,99.6,500.0,1000.0,0.15,50.0,0.06666666666666667
2693.76,85.47059435364051,0.5125304643387802,35.52161619613671,99.7,500.0,1500.0,0.15,50.0,0.044444444444444446
2670.32,84.39353640416002,5.849354962852895,13.926530928677549,99.7,500.0,2000.0,0.15,50.0,0.03333333333333333
2705.49,83.64693907875116,47.66354264487367,1.493843144873698,99.1,300.0,1000.0,0.2,50.0,0.03
2670.32,82.80202080237713,75.5377562407132,0.05218703254086186,87.3,300.0,1500.0,0.2,50.0,0.02
2652.74,82.36945765230405,84.84210906389303,0.0,62.5,300.0,2000.0,0.2,50.0,0.015
2705.49,84.82390787518602,11.360460950965797,18.399934435364006,99.7,400.0,1000.0,0.2,50.0,0.04
2670.32,83.59791233283815,35.15088937592869,4.7600826300148515,97.6,400.0,1500.0,0.2,50.0,0.02666666666666667
2652.74,82.97073551262984,56.98130898959876,0.4614413268945028,89.2,400.0,2000.0,0.2,50.0,0.02
2705.49,86.0006612184247,0.4623367622585447,56.79292020802373,99.6,500.0,1000.0,0.2,50.0,0.05
2670.32,84.39353640416002,11.331230267459135,21.76414502228828,99.5,500.0,1500.0,0.2,50.0,0.03333333333333333
2652.74,83.57213224368503,27.73454561664191,8.199306604754838,96.1,500.0,2000.0,0.2,50.0,0.025
2810.97,92.80488855869285,0.0,99.9927312778598,98.3,600.0,1000.0,0.1,50.0,0.12
2740.65,89.10722139673062,0.0,96.7907214710255,99.7,600.0,1500.0,0.1,50.0,0.08
2705.49,87.17750371470973,0.0,72.93915066864777,99.8,600.0,2000.0,0.1,50.0,0.06
2810.97,95.06233283803886,0.0,100.0,97.5,700.0,1000.0,0.1,50.0,0.14
2740.65,90.65424962852877,0.0,99.89347117384818,99.5,700.0,1500.0,0.1,50.0,0.09333333333333334
2705.49,88.35436849925729,0.0,96.823273922734,99.8,700.0,2000.0,0.1,50.0,0.07
2810.97,97.32005200594344,0.0,100.0,95.8,800.0,1000.0,0.1,50.0,0.16
2740.65,92.2017756315006,0.0,100.0,99.3,800.0,1500.0,0.1,50.0,0.10666666666666667
2705.49,89.53080237741435,0.0,99.76359955423395,99.7,800.0,2000.0,0.1,50.0,0.08
2740.65,89.10722139673062,0.0,98.47494762258567,99.2,600.0,1000.0,0.15,50.0,0.08
2693.76,86.52144873699844,0.0,76.17880386329857,99.6,600.0,1500.0,0.15,50.0,0.05333333333333334
2670.32,85.1898736998512,0.38869917384844,41.63118135215448,99.8,600.0,2000.0,0.15,50.0,0.04
2740.65,90.65424962852877,0.0,99.98164279346183,99.3,700.0,1000.0,0.15,50.0,0.09333333333333334
2693.76,87.57227340267518,0.0,96.48645839524492,99.4,700.0,1500.0,0.15,50.0,0.06222222222222222
2670.32,85.98543833580952,0.0,75.8485231797923,99.6,700.0,2000.0,0.15,50.0,0.04666666666666667
2740.65,92.2017756315006,0.0,100.0,99.5,800.0,1000.0,0.15,50.0,0.10666666666666667
2693.76,88.62332838038596,0.0,99.64007674591375,99.8,800.0,1500.0,0.15,50.0,0.07111111111111111
2670.32,86.78153046062401,0.0,94.62102154531972,99.7,800.0,2000.0,0.15,50.0,0.05333333333333334
2705.49,87.17750371470973,0.0,82.94203543833592,99.7,600.0,1000.0,0.2,50.0,0.06
2670.32,85.1898736998512,1.1510024762258546,53.35003179791969,99.7,600.0,1500.0,0.2,50.0,0.04
2652.74,84.17285289747473,10.835185631500746,26.1879808320951,99.7,600.0,2000.0,0.2,50.0,0.03
2705.49,88.35436849925729,0.0,96.5074602526003,99.5,700.0,1000.0,0.2,50.0,0.07
2670.32,85.98543833580952,0.018795567979197653,76.17692615156056,99.7,700.0,1500.0,0.2,50.0,0.04666666666666667
2652.74,84.77439078751881,1.9020578900445768,52.48302823179795,99.6,700.0,2000.0,0.2,50.0,0.035
2705.49,89.53080237741435,0.0,99.63432243685001,99.4,800.0,1000.0,0.2,50.0,0.08
2670.32,86.78153046062401,0.0,89.78223930163428,99.5,800.0,1500.0,0.2,50.0,0.05333333333333334
2652.74,85.3756983655273,0.22245062332837992,72.42281649331356,99.7,800.0,2000.0,0.2,50.0,0.04
