,Randomstate,RMSE,MAPE,MSE,Training RMSE
0,1,0.4995361501247298,0.0036535790117331627,0.2495363652814366,1.2397117108503868
1,2,0.9697157079316073,0.0056338623181047326,0.9403485542092983,1.4503984131127352
2,3,0.3584789379998778,0.0026434244856611932,0.12850714898952023,1.2197242453023418
3,4,6.217902631498193,0.029461673116794748,38.66231313479216,0.930943296764972
4,5,1.6116873113937025,0.007988168369906267,2.597535989707461,1.3109630278742095
5,6,0.7972530098428039,0.005028065055884635,0.63561236170341,1.1498332473035637
6,7,0.7241799942900036,0.004041646911398108,0.5244366641298697,1.1719265269547894
7,8,1.789758963606533,0.00760290167083007,3.2032371478099306,1.0217279373438628
8,9,3.0317425732041423,0.012375349472405588,9.191463030178475,1.0198063531948751
9,10,4.807935336409582,0.02876982436505995,23.116242199095915,0.8156052692325464
10,11,1.6546762655054852,0.00992843440028421,2.737953543627179,2.1023189739825043
11,12,0.18602333799926787,0.0013064908741157687,0.034604682280389855,1.4062875563930999
12,13,1.4314357666737263,0.00894588604744975,2.049008354112799,1.1576570950856229
13,14,2.576534174150201,0.014145436592542526,6.638528350563859,0.8909854166826456
14,15,5.727323901768835,0.029641934131068512,32.80223907577259,0.9842577815993468
15,16,1.962583486372344,0.008728831075808784,3.851733940981424,1.030617724237252
16,17,4.396987686653194,0.02279761036274713,19.333500716579806,1.2653410685953141
17,18,0.421647928437738,0.0027785169238614205,0.17778697555583586,0.9823864815992245
18,19,5.907836639673183,0.028104718315286114,34.90253376106493,0.8234922132104009
19,20,2.7509452614255574,0.012056729588956637,7.567699831359729,1.0958227127478548
20,21,2.186392120608294,0.00954618491397045,4.780310505058033,0.9595813550276946
21,22,0.46229943476439406,0.0030359491782984234,0.21372076738347826,1.3498121404499916
22,23,1.1236340928377975,0.006587511292670999,1.2625535745874201,0.804009109269322
23,24,0.7013794961056204,0.002987442143130417,0.4919331975573741,1.7973305371998287
24,25,1.0372240440811251,0.0056432265400538075,1.075833717620004,1.4401913320835955
25,26,5.600401044168504,0.028510489542577355,31.364491855523667,0.793814066838375
26,27,6.628261523704965,0.03786395468107807,43.93385082662766,0.9746111743782832
27,28,1.277565823536339,0.008559217767897165,1.6321744334680839,1.54939712571072
28,29,0.787835334879392,0.004767121999376609,0.6206845148845237,0.9272044344656836
29,30,3.4740718626837053,0.022626995861874773,12.06917530709063,0.7521746231399054
30,31,0.838414428294307,0.005590952900741712,0.7029387535720697,1.7602125954630037
31,32,7.987282714444565,0.03303336440499319,63.796685160464946,1.566617390947234
32,33,0.4763494331127344,0.0029864224849974644,0.22690878242682347,1.5738947946750945
33,34,1.0326554110293422,0.0068343815585079435,1.0663771979281798,1.1098929605136372
34,35,0.46624605364446525,0.002812533807709421,0.21738538253903758,1.2837271533068868
35,36,6.591544337778395,0.037585651898108745,43.44845675689842,0.9099681186539244
36,37,1.1309525030526038,0.004945779504834197,1.2790535641609495,0.9199310947416712
37,38,0.7914057988595857,0.004420107943481225,0.626323138468579,1.362984842079343
38,39,1.2211999016900876,0.00744523339878218,1.4913291998878797,1.203447562635444
39,40,5.134920217996919,0.027214733154524693,26.36740564519353,0.8499786223828965
40,41,0.9068827898662961,0.004987345475767048,0.8224363945556766,0.9432292271139225
41,42,2.815919861236974,0.015222453182764805,7.929404664908858,1.9009947323465581
42,43,2.5960000274709514,0.014609498865337424,6.73921614262918,1.3821874453588758
43,44,0.5386504289773199,0.0037044007575079475,0.29014428463745073,2.040699168776584
44,45,1.2570752909617982,0.006500126073397238,1.5802382871466896,1.862640266151983
45,46,0.8265281671688034,0.004949744574475262,0.6831488111234214,1.1397422491021647
46,47,0.3637389340590543,0.0024457818855931697,0.13230601215041704,1.2464835375435626
47,48,2.309437550109923,0.011698761966262726,5.333501797857723,2.186539025609549
48,49,2.5887145364487,0.016612159092020722,6.701442951220807,0.8699164469146637
49,50,1.4080953799117524,0.006504814064790731,1.982732598928822,0.9356200033637864
50,51,1.8849898530253455,0.010929222834520282,3.553186746008514,1.0269775358445714
51,52,0.7069419845566565,0.003706206079291757,0.4997669695289039,1.4065466917207683
52,53,0.35098857301407327,0.002628682849820888,0.12319297838645546,1.6148663655042863
53,54,0.32001202845573756,0.001975155797637846,0.10240769835635578,1.6004930688664565
54,55,0.6127571168204924,0.0041069336388979095,0.37547128421416254,1.5643447932092278
55,56,3.8373362542776506,0.01914979037363463,14.725149528393631,0.8441438861248166
56,57,6.5899966697588415,0.034987792156438415,43.42805610743262,0.9202279164697916
57,58,1.4656695416773482,0.007694012837507136,2.148187205400688,1.565985046242491
58,59,1.7119860934480278,0.007747988100480701,2.930896384159439,1.1910940419902882
59,60,1.126229066993326,0.006428082764679921,1.2683919113406574,1.0288041575907667
60,61,4.278399971478051,0.02040278292924374,18.304706315943392,0.8876469104446485
61,62,0.1951393776117852,0.0014281689886904245,0.0380793766947149,1.7190331629379654
62,63,0.683981307220623,0.0039573979646337085,0.46783042862723223,1.3540340891485994
63,64,2.523442781053831,0.016812155636174407,6.367763469252693,1.5703914556876888
64,65,5.607427178352911,0.034386414444666676,31.443239560530888,0.4660480315861261
65,66,2.5427580041875237,0.009836739326273186,6.4656182678597185,0.9891394622146169
66,67,0.4920543104485803,0.0037369463810601523,0.2421174444310278,1.8200601974158062
67,68,1.089237560437429,0.005817827469329757,1.1864384630676819,1.4693969911614493
68,69,0.779053975336917,0.004805800534635908,0.6069250964882537,1.34694872734433
69,70,0.7844524757140808,0.0038018172895646213,0.6153656866539505,1.2018006154787877
70,71,2.520287275441582,0.014549537072729492,6.351847950752753,0.8837563031582285
71,72,1.9474344330918485,0.009246203969622684,3.7925008711917694,1.0117685931351494
72,73,2.4127011614207077,0.010567561113415764,5.821126894320832,1.229673221508935
73,74,5.7385018992583365,0.030302636138346193,32.930404047791534,0.6915474037605901
74,75,0.8794386649839604,0.006101232115615292,0.7734123654687705,1.5617833917430042
75,76,0.33039944437090063,0.0023001284174644226,0.10916379284059988,2.288298026253508
76,77,0.3119817507537852,0.0017894851602049816,0.09733261280339695,1.6670560856648724
77,78,2.0995505785729938,0.012573641561256848,4.408112631986193,1.1355078269522179
78,79,0.371308606694719,0.0020348202107477497,0.1378700814055735,1.4470169445011105
79,80,1.1688037589970268,0.0069427437282386035,1.36610222704558,0.9233506815588557
80,81,0.7119855989045801,0.0049960736259367835,0.5069234930475136,1.1078828185659868
81,82,5.8645198516924,0.03352359326725586,34.392593090894245,0.7327706656039468
82,83,0.87029235288801,0.005493862190013509,0.7574087794953485,1.1534536702787759
83,84,0.43640675745016544,0.003527362450693272,0.19045085794816752,1.6331364896078875
84,85,4.2935592364472415,0.02478945015904341,18.43465091688142,0.7365801569808512
85,86,0.17982860981519722,0.0013014464263954924,0.03233832890806645,1.7813344919990262
86,87,1.2179417757005218,0.008046102170886589,1.4833821689965399,1.3425941889589608
87,88,2.7901046499980375,0.01334847152877693,7.784683957940672,1.1410246367362302
88,89,1.1853764434439733,0.00754204135134246,1.405117312671883,1.1252392647620948
89,90,0.8365937531661273,0.004259615750081851,0.6998891078365871,1.675612825529986
90,91,0.8509007616665899,0.006439691088116056,0.7240321062047829,1.2777626805241717
91,92,3.570449196422862,0.017472908577775496,12.74810746423666,1.0019268216078268
92,93,0.92946330550582,0.0059462827928837446,0.8639020362818054,1.2199255748816753
93,94,2.129427330184117,0.012542775770705044,4.534460754535057,0.5491866184086746
94,95,0.6438515009752822,0.004698739615651281,0.4145447553081238,1.6663870355101298
95,96,2.721297899219677,0.016131524313274345,7.405462256297425,1.6618809245923
96,97,6.089018947546359,0.033393972300039404,37.07615174357857,1.2607847745635488
97,98,1.0190388488949043,0.0066293057204499075,1.0384401755570516,1.1738912378203685
98,99,1.901408961909289,0.010080458873748501,3.6153560404289604,0.9339094528582066
99,100,1.2905529228919645,0.00838158654643107,1.6655268467849929,1.820181867909057
